schlcode,c_size,c_boys,c_girls,c_numcl,c_pik,c_status,c_leom,c_tip,c_num4rd,c_type,flgrm4,mrkgrm4,ngrm4,flmth4,mrkmth4,nmth4,towncode,townname,popcode,tip_a,grade,classid,classize,_type_,_freq_,cohsize,mathsize,avgmath,passmath,verbsize,avgverb,passverb,studchk,misskov2,missagg,nmiss_k,nmiss_a,classct,math_n,flmath_n,nmath_n,verb_n,flverb_n,nverb_n,impute,nverb_m,nmath_m,tip_s,townid,tipuach
61104,41,21,20,16,2,2,1,8,2,2,28,63,25,48,62,25,26302,š‚ š‰˜—,12,35,4,1,21,0,2,41,14,70.43000030517578,28.600000381469727,14,62.709999084472656,35.70000076293945,1,0,0,0,0,2,61.88079833984375,48.00400161743164,25,63.2775993347168,28,25,0,NA,NA,35,26302,35
61104,41,21,20,16,2,2,1,8,2,2,28,63,25,48,62,25,26302,š‚ š‰˜—,12,35,4,2,20,0,2,41,11,51,72.69999694824219,11,64,18.200000762939453,1,0,0,0,0,2,61.88079833984375,48.00400161743164,25,63.2775993347168,28,25,0,NA,NA,35,26302,35
61105,118,61,57,18,1,2,1,5,4,3,18,66,73,37.84000015258789,56,74,10348,‰‹€ŒŽ š‰˜—,11,24,4,2,30,0,3,90,23,56.38999938964844,39.099998474121094,22,64.589996337890625,13.600000381469727,1,0,0,1,0,3,51.27851104736328,38.28297805786133,47,62.36738967895508,21.7391300201416,46,0,NA,NA,24,10348,24
61105,118,61,57,18,1,2,1,5,4,3,18,66,73,37.84000015258789,56,74,10348,‰‹€ŒŽ š‰˜—,11,24,4,3,28,0,3,90,24,46.380001068115234,37.5,24,60.33000183105469,29.200000762939453,1,0,0,1,0,3,51.27851104736328,38.28297805786133,47,62.36738967895508,21.7391300201416,46,0,NA,NA,24,10348,24
61105,118,61,57,18,1,2,1,5,4,3,18,66,73,37.84000015258789,56,74,10348,‰‹€ŒŽ š‰˜—,11,24,4,1,32,0,3,90,27,64.21888732910156,37.06888961791992,27,72.18888854980469,11.629630088806152,NA,1,0,1,0,3,51.27851104736328,38.28297805786133,47,62.36738967895508,21.7391300201416,46,1,27,27,24,10348,24
61106,65,31,34,15,2,2,1,6,2,2,16,73,57,33.33000183105469,62,57,10348,‰‹€ŒŽ š‰˜—,12,46,4,1,36,0,2,66,29,67.279998779296875,17.200000762939453,30,74.5999984741211,16.700000762939453,1,0,0,0,0,2,62.127017974853516,33.31228256225586,57,72.87578582763672,15.800000190734863,57,0,NA,NA,46,10348,46
61106,65,31,34,15,2,2,1,6,2,2,16,73,57,33.33000183105469,62,57,10348,‰‹€ŒŽ š‰˜—,12,46,4,2,30,0,2,66,28,56.790000915527344,50,27,70.95999908447266,14.800000190734863,1,0,0,0,0,2,62.127017974853516,33.31228256225586,57,72.87578582763672,15.800000190734863,57,0,NA,NA,46,10348,46
61108,15,9,6,7,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,,NA,NA,4,1,17,0,1,17,11,77.44999694824219,36.400001525878906,12,86.66999816894531,0,1,0,1,0,1,1,77.44999694824219,36.400001525878906,11,86.66999816894531,0,12,0,NA,NA,0,3541,0
61109,15,8,7,3,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,,NA,NA,4,1,15,0,1,15,7,74.29000091552734,42.900001525878906,7,86.29000091552734,0,1,0,1,0,1,1,74.29000091552734,42.900001525878906,7,86.29000091552734,0,7,0,NA,NA,2,3624,2
61116,48,18,30,9,1,2,1,6,2,2,10,66,41,35.709999084472656,65,42,10314,š…˜ƒ™,11,38,4,1,25,0,2,50,22,65.410003662109375,27.299999237060547,23,65.910003662109375,13,1,0,0,1,0,2,65.410003662109375,27.299999237060547,22,65.910003662109375,13,23,0,NA,NA,38,10314,38
61116,48,18,30,9,1,2,1,6,2,2,10,66,41,35.709999084472656,65,42,10314,š…˜ƒ™,11,38,4,2,25,0,2,50,20,64.54900360107422,44.96099853515625,18,66.11499786376953,6.166666507720947,NA,1,0,1,0,2,65.410003662109375,27.299999237060547,22,65.910003662109375,13,23,1,18,20,38,10314,38
61117,47,24,23,13,2,2,1,9,2,2,35,59,46,52.16999816894531,54,46,10314,š…˜ƒ™,12,52,4,1,28,0,2,47,27,59.150001525878906,40.70000076293945,27,66.33000183105469,18.5,1,0,0,0,0,2,54.478477478027344,52.14130401611328,46,58.73826217651367,34.7739143371582,46,0,NA,NA,52,10314,52
61117,47,24,23,13,2,2,1,9,2,2,35,59,46,52.16999816894531,54,46,10314,š…˜ƒ™,12,52,4,2,19,0,2,47,19,47.84000015258789,68.4000015258789,19,47.95000076293945,57.900001525878906,1,0,0,0,0,2,54.478477478027344,52.14130401611328,46,58.73826217651367,34.7739143371582,46,0,NA,NA,52,10314,52
61121,26,15,11,8,2,2,1,6,2,1,15,75,13,21.43000030517578,69,14,10959,<8f>…Ž‰Ž ˜”‹,12,32,4,1,18,0,1,18,14,68.63999938964844,21.399999618530273,13,75,15.399999618530273,1,0,0,0,0,1,68.63999938964844,21.399999618530273,14,75,15.399999618530273,13,0,NA,NA,32,10959,32
61124,22,10,12,9,2,2,1,8,1,1,0,65,21,52.380001068115234,70,21,8144,<8d>‰ŽŒš,12,58,4,1,22,0,1,22,21,69.62000274658203,52.400001525878906,21,65.37999725341797,0,1,0,0,0,0,1,69.62000274658203,52.400001525878906,21,65.37999725341797,0,21,0,NA,NA,58,8144,58
61136,54,19,35,12,1,2,1,4,2,2,0,81,30,36.36000061035156,77,33,703,ƒ…ƒ™€,11,27,4,1,30,0,2,58,18,76.279998779296875,27.799999237060547,18,80.44000244140625,0,1,0,0,0,0,2,77.39363861083984,36.390907287597656,33,81.332000732421875,0,30,0,NA,NA,27,703,27
61136,54,19,35,12,1,2,1,4,2,2,0,81,30,36.36000061035156,77,33,703,ƒ…ƒ™€,11,27,4,2,28,0,2,58,15,78.7300033569336,46.70000076293945,12,82.66999816894531,0,1,0,0,0,0,2,77.39363861083984,36.390907287597656,33,81.332000732421875,0,30,0,NA,NA,27,703,27
61137,64,28,36,12,2,2,1,7,2,2,4,74,56,42.86000061035156,68,56,703,ƒ…ƒ™€,12,35,4,1,33,0,2,65,30,70.7699966430664,33.29999923706055,30,77.970001220703125,3.299999952316284,1,0,0,1,0,2,70.7699966430664,33.29999923706055,30,77.970001220703125,3.299999952316284,30,0,NA,NA,35,703,35
61137,64,28,36,12,2,2,1,7,2,2,4,74,56,42.86000061035156,68,56,703,ƒ…ƒ™€,12,35,4,2,32,0,2,65,26,64.80384826660156,53.890769958496094,26,69.41922760009766,4.807692527770996,NA,1,0,1,0,2,70.7699966430664,33.29999923706055,30,77.970001220703125,3.299999952316284,30,1,26,26,35,703,35
61138,61,34,27,17,1,1,1,6,3,2,12,69,43,48.08000183105469,62,52,71001,<8f>…Œ—™€,11,31,4,1,25,0,2,52,27,64.33000183105469,37,25,70.63999938964844,12,1,0,0,0,0,2,61.709808349609375,48.05769348144531,52,69.2544174194336,11.623255729675293,43,0,NA,NA,31,71001,31
61138,61,34,27,17,1,1,1,6,3,2,12,69,43,48.08000183105469,62,52,71001,<8f>…Œ—™€,11,31,4,2,27,0,2,52,25,58.880001068115234,60,18,67.33000183105469,11.100000381469727,1,0,0,0,0,2,61.709808349609375,48.05769348144531,52,69.2544174194336,11.623255729675293,43,0,NA,NA,31,71001,31
61139,51,26,25,12,2,1,1,8,3,2,18,64,34,27.270000457763672,70,33,71001,<8f>…Œ—™€,12,49,4,2,8,0,2,28,18,67.279998779296875,33.29999923706055,18,64.94000244140625,16.700000762939453,1,0,0,1,0,2,67.279998779296875,33.29999923706055,18,64.94000244140625,16.700000762939453,18,0,NA,NA,49,71001,49
61139,51,26,25,12,2,1,1,8,3,2,18,64,34,27.270000457763672,70,33,71001,<8f>…Œ—™€,12,49,4,1,20,0,2,28,15,73.26399993896484,20.034000396728516,16,62.942501068115234,19.462499618530273,NA,1,0,1,0,2,67.279998779296875,33.29999923706055,18,64.94000244140625,16.700000762939453,18,1,16,15,49,71001,49
